node_id,word,definition,pos_group,cluster,x,y,z,ERROR SYMPTOMS,TROUBLESHOOTING,PRIMARY CATEGORY,SUB CATEGORY,CORE,CORE 1: DOMAIN,CORE 2: DOMAIN
W97,"Advanced tab, Internet Options",,other,0,-0.4243325184096232,0.8504653001023976,-0.3108869362676501,"Workstations fail to connect to modern secure enterprise websites because legacy encryption protocols (like SSL 3.0) are active while newer, secure protocols (like TLS 1.3) are disabled inside the operating system.","Open Internet Options via the Control Panel or type ""inetcpl.cpl"" in the Run prompt; navigate to the Advanced tab; scroll down to the Security section to check the boxes for Use TLS 1.2 and Use TLS 1.3; if settings are corrupted, click the Reset button to restore browser configurations to default values.",Operating Systems Management,Windows Control Panel Applets,CORE 2,,OPERATING SYSTEMS
W271,Browsers: Configuring,,other,0,-0.43279271297441985,0.8443252388629755,-0.3159198610648292,"Web links fail to open in intended application targets, or internal applications break because security settings are set too restrictively.","Access the software preferences dashboard, adjust privacy sliders, configure cookie management preferences, and verify default application handlers.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,OPERATING SYSTEMS
W280,Browsers: Pop-up blockers,,other,0,-0.42898396866296945,0.8515885369044532,-0.3012801328383622,Crucial secondary business utility tools fail to open when an inline web link option is clicked.,"Look for a blocked notification icon within the address location bar area, click it, and select the option to ""Always allow pop-ups from this site"".",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,SECURITY
W281,Browsers: Proxies,,other,0,-0.4205064893068388,0.8490177990048673,-0.31991103360742046,"Browser displays ""Unable to connect to proxy server"" errors or fails to load any external web pages.","Access network settings within browser preferences, verify the proxy IP address configuration and port entries match corporate network specifications, or temporarily toggle off the proxy for direct internet access testing.",Network Infrastructure & Protocols,Browser Configurations & Security,CORE 1,NETWORKING,
W284,Browsers: Security,,other,0,-0.4406242536302565,0.8429766373549498,-0.3086108487829307,"Browsers allow cross-site scripting attacks to execute, or run unsafe downloads without warning.","Enable advanced safe browsing options, restrict third-party tracking cookies, and verify the application is updated to the latest minor version patch.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,SECURITY
W285,Browsers: Settings,,other,0,-0.4181446495411042,0.8562895962504111,-0.30318835632895785,"The default search engine keeps reverting to an unknown provider, or the homepage changes without user input.","Navigate to the bottom of the advanced preferences screen, locate the reset option, and click “Restore settings to their original defaults” to clear rogue modifications.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,OPERATING SYSTEMS
W286,Browsers: Sign-in/data synchronization,,other,0,-0.42990044142568656,0.8420279483539949,-0.3258443564844449,"Bookmarks saved on a work laptop fail to appear on a home workstation, or synchronization status indicators display account error states.","Log completely out of the sync account profile inside the browser settings, sign back in using current multi-factor credentials, and ensure sync permissions are toggled on.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,OPERATING SYSTEMS
W287,Browsers: Trusted/untrusted web sites,,other,0,-0.4377189907554159,0.8489772540770182,-0.2960400432237267,"Web apps fail to run active scripts because they are flagged as untrusted, or corporate sites are blocked from downloading intranet files.","Open the Internet Properties control panel utility via the command “inetcpl.cpl”, navigate to the “Security” tab, click “Trusted sites”, choose “Sites”, and add the explicit corporate domain address.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,SECURITY
W353,Chrome OS: Settings,,other,0,-0.41174458573696093,0.8544142356293055,-0.3169269790823874,Inability to change system configurations or the settings menu failing to launch when requested.,"Attempt a hard restart of the hardware, clear the browser cache, or perform a factory reset if the settings interface remains unresponsive.",Operating Systems,System Configuration,CORE 2,,OPERATING SYSTEMS
W452,Configuring: Browsers,,other,0,-0.44353928040469337,0.8379463572243709,-0.3179918381853433,"Web pages failing to load, security warning prompts, or slow performance while surfing the internet.","Open the browser’s settings menu, clear the 'cached images and files', check 'privacy and security' settings, or reset the browser to default configurations if issues persist.",Operating Systems,Application Support,CORE 2,,OPERATING SYSTEMS
