node_id,word,definition,pos_group,cluster,x,y,z
W663,ZIP,,other,0,-0.20891514725207078,-0.1195107701201324,-0.9706037487429865
W1327,ZIP,,other,0,-0.23789399124018887,-0.13489165109137777,-0.9618787300890143
W8,ARM,,other,1,0.010977078295973018,-0.3858847277114847,0.9224816966591356
W49,HSM,,other,1,0.021928517782415453,-0.3905314042359772,0.920328399221355
W130,SPICE,,other,1,0.014377921724097704,-0.37601772365205804,0.9265009157396557
W145,UEFI,,other,1,0.00847121894217897,-0.3951146999676865,0.9185927347410704
W169,ACPI,,other,1,0.02953933155636004,-0.38281682074335566,0.9233518883108176
W173,AHCI,,other,1,0.0021757492370003332,-0.37843943197923796,0.9256234992903376
W176,APM,,other,1,0.020726082268663307,-0.40061534255856107,0.916011886833615
W182,ATX,,other,1,0.023505902144833647,-0.3703314581155921,0.9286022203798229
W235,ECP,,other,1,-0.0023277317105524758,-0.3925227974735571,0.919739329989001
W269,Hardware Compatibility List (HCL),,other,1,0.034994391685984255,-0.39207970380714735,0.9192654123880805
W322,MBR (Master Boot Record),,other,1,0.005794348659468223,-0.3679171601355952,0.9298405179391632
W324,MDM (mobile device management),,other,1,0.009731234423259221,-0.40578696829943206,0.9139158820345312
W330,ACPI,,other,1,0.03565423576160457,-0.37384952908751057,0.9268038115336505
W398,ECP,,other,1,-0.008445614459699017,-0.3817001205352108,0.9242476343382242
W430,HAL,,other,1,0.031080026148291487,-0.40414741749855876,0.9141656835081196
W432,HCL,,other,1,0.018087573214770912,-0.3614003729862117,0.9322352761511589
W513,NLX,,other,1,-0.004373326521045855,-0.4025066907082018,0.9154065970650813
W572,RISC,,other,1,0.0436132432717824,-0.3854755785978776,0.9216867490183135
W595,SLI,,other,1,-0.0054066063991519715,-0.3676969209417764,0.9299299666841485
W627,UEFI,,other,1,0.01815396824421227,-0.41261636786594974,0.910723979263805
W672,ARM,,other,1,0.03416714752603946,-0.363343939847462,0.9310283494105095
W713,HSM,,other,1,-0.01480732383035752,-0.3905638296140817,0.9204567551809076
W794,SPICE,,other,1,0.04233553428647776,-0.40111515873721126,0.9150488139809266
W809,UEFI,,other,1,0.007407181381290856,-0.3566854686362926,0.9341951670436391
W833,ACPI,,other,1,0.00034967567829158943,-0.4125767078548018,0.9109227946772511
W837,AHCI,,other,1,0.04738709888733365,-0.374729709729506,0.9259223010086118
W840,APM,,other,1,-0.016019479807906988,-0.37345439122434604,0.9275102123113995
W846,ATX,,other,1,0.030398488579964158,-0.4146715070859404,0.9094632884856476
W899,ECP,,other,1,0.026477496150759474,-0.35405801141103777,0.9348485795856183
W933,Hardware Compatibility List (HCL),,other,1,-0.01574337138687607,-0.40229272661180454,0.9153757197853866
W986,MBR (Master Boot Record),,other,1,0.05164872799904857,-0.39264520665466174,0.9182386130996661
W988,MDM (mobile device management),,other,1,-0.005738314789875997,-0.3572101956584926,0.9340063960492955
W994,ACPI,,other,1,0.010652077972426776,-0.420241005291858,0.9073500045220465
W1062,ECP,,other,1,0.0453100767776333,-0.3623679364041034,0.9309331209107541
W1094,HAL,,other,1,-0.023468796817506018,-0.38400593920628107,0.9230323148353153
