node_id,word,definition,pos_group,cluster,x,y,z,ERROR SYMPTOMS,TROUBLESHOOTING,PRIMARY CATEGORY,SUB CATEGORY,CORE,CORE 1: DOMAIN,CORE 2: DOMAIN
W41,Accessories: Drawing pads,,other,0,0.9235536720109812,-0.1453294473812546,-0.3548633069773375,"Cursor skips across the screen erratically, pen pressure levels fail to register inside design apps, or touch functions are completely unresponsive.",Disconnect and reconnect the interface cable; completely remove generic operating system HID (Human Interface Device) pointer drivers and install the vendor's proprietary device driver pack; run the integrated calibration utility to map the pad area to your monitor coordinates.,Peripherals and Hardware,Input Devices,CORE 1,HARDWARE,
W43,Acessories: Styluses,,other,0,0.9227469603039976,-0.1239912545685094,-0.3649167248020564,"Digitizer screen ignores pen strokes completely, line rendering lags behind the physical pen movement, or pressure sensitivity features are missing.",Change the internal battery or charge the active stylus; inspect and replace the plastic pen tip nib if it is worn down or flat; re-pair the device via Bluetooth and verify app configuration support.,Peripherals and Hardware,Input Devices,CORE 1,HARDWARE,
W44,Accessories: Touchpads,,other,0,0.93168603259732,-0.1390297121733811,-0.335606727876621,"The cursor jumps erratically while typing on the keyboard, mouse clicks fail to register, or multi-finger gestures like scrolling fail to work.","Clean the touchpad surface with a lightly damp microfiber cloth to remove skin oils; use the ""Fn"" key shortcut (e.g., Fn+F7) to verify the touchpad wasn't accidentally disabled; check Windows Settings to lower palm-rejection sensitivity settings so your palm doesn't trigger accidental inputs while typing.",Mobile Devices and Mobile Hardware,Laptop Hardware Components,CORE 1,MOBILE DEVICES,
W45,Accessories: Trackpads,,other,0,0.9157048347282504,-0.1498521328997386,-0.3728659194948057,"The physical trackpad surface lifts or pops out of the laptop chassis enclosure, or clicking mechanisms become rigid and physically impossible to press down.","Safety Warning: If the surface is lifting, check for a internal swollen battery immediately; remove power, safely replace the expanding battery module, and inspect the trackpad structure for permanent structural damage before reassembling.",Mobile Devices and Mobile Hardware,Laptop Hardware Components,CORE 1,MOBILE DEVICES,
W127,Apple: iPadOS,,other,0,0.930240198606188,-0.1094756768451038,-0.3502402733502053,"Slide Over or Split View multi-tasking interfaces failing to display properly, external dock displays failing to scale resolution windows correctly, or file mapping tools dropping cloud share access paths.",Close running processes via the application switcher; update the system software layer; navigate to accessibility configurations to verify touch gesture parameters are matching operational intents; execute an all-settings reset routine.,Operating Systems Management,Mobile Operating Systems,CORE 2,,OPERATING SYSTEMS
W52,lusrmgr.msc (Local Users and Groups Manager),,other,1,-0.3486402635658188,-0.910913769691054,0.2206492030531503,"- ""This snapin may not be used with this edition of Windows"": The utility completely refuses to launch on Windows Home editions.
- ""Access is Denied"": The console opens, but changes cannot be saved, or properties are grayed out.
- Red ""X"" on Accounts: Specific local accounts are visible but completely locked out or disabled.
- ""The password does not meet the policy requirements"": Attempts to set or reset a password fail with a restriction pop-up.
","- Upgrade Windows Edition: If running Windows Home, upgrade to Pro or Enterprise, or use alternative command-line tools like ""net user"" and ""net localgroup"" in Command Prompt.
- Elevate Permissions: Close the tool and explicitly open a Command Prompt as an Administrator, then type ""lusrmgr.msc"" to bypass local permission limits.
- Enable Account Manually: Right-click the disabled user account, select Properties, and uncheck the Account is disabled checkbox.
- Review Password Complexity: Adjust the local security policy constraints using ""secpol.msc"" if you need to set a simple password that violates default rules.",Operating Systems,Windows Management Tools / System Administration Utilities,CORE 2,,SECURITY
W83,Administrative Tools: Certificate Manager,,other,1,-0.3255897794621528,-0.9223955625764,0.2077924966141783,"Users receive severe browser warnings stating ""Your connection is not private"" or ""The security certificate presented by this website was not issued by a trusted certificate authority"" when visiting corporate intranet sites.","Open the Certificate Manager snap-in; navigate to the Trusted Root Certification Authorities folder; select Action > All Tasks > Import to manually load the correct, up-to-date corporate root certificate file provided by the network security team.",Operating Systems Management,Windows Administrative Utilities,CORE 2,,OPERATING SYSTEMS
W89,Administrative Tools: Local Users and Groups,,other,1,-0.3381543605716722,-0.908635981861176,0.2450148585158456,"A standard user profile cannot run basic administrative tools because they are missing from the local privileged groups, or stale local accounts are left active on an enterprise machine after an employee departs.","Run ""lusrmgr.msc"" as an administrator; select the Users folder to right-click and change passwords or disable accounts; select the Groups folder, double-click Administrators, and add or remove specific user accounts to update their local privilege tokens.",Operating Systems Management,Windows Administrative Utilities,CORE 2,,OPERATING SYSTEMS
W35,Access: UAC (User Account Control),,other,2,-0.7431826745606622,-0.5974150286114908,-0.3012885590625574,Legitimate system installation tools crash out during automated deployments because the hidden background script cannot interactively click through a protective UAC confirmation prompt.,"Type ""User Account Control Settings"" in the Windows search bar; adjust the slider mechanism to alter notifications; for enterprise automated software packaging, use administrative bypass methods or adjust settings globally via Group Policy Objects (GPOs).",Operating Systems Management,Windows Security Features,CORE 2,,OPERATING SYSTEMS
W104,"Alerts, ransomware hoaxes",,other,2,-0.7258628217781373,-0.6127748326018847,-0.3124582667973638,"A user's web browser window locks up, displaying a flashing full-screen message stating ""WARNING: Ransomware Detected! Call 1-800-XXX-XXXX immediately to save your files,"" blocking standard access to the browser interface.","Do not call the listed phone number or click any links; open Task Manager (""Ctrl + Shift + Esc""); select the web browser process from the list and click End Task to force close the window; relaunch the browser and choose not to restore the previous session tabs; clear the browser cache and run a standard scan with your legitimate local antivirus software.",Network Security & Access Control,Social Engineering and Security Threats,CORE 2,,SOFTWARE TROUBLESHOOTING
W196,"AutoPlay, disabling",,other,2,-0.7431133773012985,-0.6078115793804804,-0.2799063994389267,"Inserting an external flash drive triggers automatic system modifications or opens unauthorized windows, risking user exposure to malicious drive items.","Open Windows Control Panel, click on the “AutoPlay” applet, clear the check box for “Use AutoPlay for all media and devices”, select an instruction to set all individual drive dropdown listings to “Take no action”, and click “Save” to lock down the system configuration.",Network Security & Access Control,Operational Security Best Practices,CORE 2,,SECURITY
W197,"AutoRun, disabling",,other,2,-0.7419357010397049,-0.5884743475084006,-0.3212932583284063,Plugging a found or untrusted Universal Serial Bus (USB) flash drive into a workstation instantly installs malware or launches background terminal scripts without the user clicking a single file icon.,"Open the “Local Group Policy Editor” by executing the command “gpedit.msc”, navigate to “Computer Configuration > Administrative Templates > Windows Components > AutoRun Policies”, double-click “Turn off AutoPlay”, change the setting toggle to “Enabled”, and click “Apply” to block automated script execution across all drives.",Network Security & Access Control,Logical Security Controls,CORE 2,,SECURITY
W0,2.4 GHz channels,,other,3,0.506240063275794,0.7694271457758123,0.3894905206520525,"Intermittent wireless drops, extremely slow data throughput, high latency during peak times, or inability to discover the network due to heavy RF interference.","Log into the wireless access point/router; change the channel configuration from ""Auto"" to a fixed, non-overlapping channel (1, 6, or 11); use a Wi-Fi analyzer app to determine which of those three is the least congested.",Wireless Networks,802.11 wireless protocol,CORE 1,NETWORKING,
W5,5 GHz channels,,other,3,0.4894277864391673,0.7855555316069676,0.3786329999127802,"Rapid signal degradation when walking away from the wireless router, sudden drops in connection when moving behind a concrete or brick wall, or device failing to see the 5 GHz SSID while connecting fine to 2.4 GHz.","Relocate the wireless router away from physical obstructions and place it higher in the room; ensure the client device's network card settings support 5 GHz bands; configure a separate, clear SSID name specifically for the 5 GHz network to prevent client steering confusion.",Wireless Networks,802.11 wireless protocol,CORE 1,NETWORKING,
W12,802.11 wireless protocol: Channel bonding,,other,3,0.4946357498975496,0.7663093812522305,0.4100065940056481,"Unstable wireless connections, high packet drop rates, or wireless degradation in areas with a high density of neighboring Wi-Fi routers.","Access the wireless access point configuration; reduce the channel width (e.g., lower it from 80 MHz back to 40 MHz or 20 MHz) if the local RF environment is highly congested to increase connection stability.",Wireless Networks,802.11 wireless protocol,CORE 1,NETWORKING,
W96,ADSL (Asymmetrical DSL (Digital Subscriber Line)) connectivity,,other,3,0.5156735219794774,0.7727929100773985,0.3699620748987484,"Slow internet performance, frequent dropouts when a landline phone rings, or the DSL modem fails to establish a stable digital link with the telephone company's central switch.",Install physical inline DSL filters on all standard analog telephone lines sharing the premises to isolate high-frequency data signals from low-frequency voice lines; move the DSL modem closer to the primary phone line entry wall jack; contact the telecom provider to test the copper wire line for signal degradation.,Network Infrastructure and Media,Internet Connection Types,CORE 1,NETWORKING,
W77,Adapters: USB-to-Ethernet adapters,,other,4,0.7873865304748661,0.5688105014450116,-0.2376490376008857,"Laptop fails to establish a wired network link when an Ethernet cable is plugged into the adapter, showing a ""Network cable unplugged"" status or an unrecognized device error in Device Manager.",Unplug the adapter and try a different physical USB (Univer port on the machine; check Device Manager to see if the device shows up with a yellow warning triangle; download and install the official hardware drivers from the adapter manufacturer's website.,Mobile Devices and Mobile Hardware,Laptop Accessories and Ports,CORE 1,MOBILE DEVICES,
W110,"Analyzing: Risk, change management",,other,5,-0.5690254618418206,0.4275213360875499,-0.7024496643643722,"Implementing a routine software update or network patch unexpectedly causes a widespread system outage across secondary company servers, disrupting business operations because dependencies weren't analyzed beforehand.","Complete a formal Change Request form detailing the scope of the change; perform a thorough risk assessment to identify potential side effects; create a detailed, step-by-step fallback or rollback procedure; schedule the change execution during a designated off-peak maintenance window.",Network Infrastructure and Operational Procedures,Change Management Processes,CORE 2,,OPERATIONAL PROCEDURES
W199,Backout plans,,other,5,-0.5777755195807677,0.3965902520967792,-0.713366400186459,"A newly installed software patch causes an enterprise database to crash, and helpdesk technicians have no written documentation or configuration steps available to undo the damage quickly, extending corporate downtime.","Before deploying any production modification, document a step-by-step reversal sequence, preserve recent system configuration snapshots, and maintain verified system backups to allow the engineering team to run the reversal procedures immediately if an update fails.",Network Infrastructure and Operational Procedures,Change Management Procedures,CORE 2,,OPERATIONAL PROCEDURES
W29,Access: ACL (Access Control List),,other,6,-0.5359971654677044,0.4202312887188642,0.7321971746683191,"Authorized network traffic is blocked entirely when trying to reach a server segment, or insecure external traffic passes through a perimeter firewall unfiltered.","Review the sequential rule ordering on the router/firewall via CLI or management console; ensure that a broad ""deny all"" statement isn't placed ahead of specific ""permit"" lines, as ACL rules process sequentially from top to bottom.",Network Security & Access Control,Logical Security Controls,CORE 2,,SECURITY
W68,ACL (Access Control Lists),,other,6,-0.563140386695952,0.4028714213490702,0.7215036539977558,"Users are blocked from opening folders essential to their daily tasks, or network workstations are unable to connect to an external server resource due to an overly restrictive rule line."," To fix a network ACL issue, trace rule order from top-to-bottom and fix any conflicting ""deny"" strings; for file permissions issues, right-click the folder, go to ""Properties > Security"", and edit the user lists to ensure the necessary permissions (Read/Write) are selected.",Network Security & Access Control,Logical Security Controls,CORE 2,,SECURITY
W181,Authentication: Behavioral factors,,other,7,-0.1684607273961187,-0.3379127924789942,0.9259783626004544,"Automated scripts use valid stolen passwords to log into user accounts, bypassing basic security checks because the system cannot differentiate between human and machine inputs.","Integrate user behavioral analytics software into the enterprise identity validation framework to continuously monitor active user sessions, flagging abnormal input patterns and prompting for secondary verification if anomalies are detected.",Network Security & Access Control,Identity and Access Management,CORE 2,,SECURITY
W182,Authentication: Email,,other,7,-0.1546726853788006,-0.3546790389601337,0.9221058180708038,"Attackers spoof corporate domain names to send phishing emails to clients, or legitimate company emails are blocked or flagged as spam by external mail servers.","Access your public Domain Name System (DNS) management zone file layout and add explicit “SPF text strings”, configure “DKIM public key entries”, and deploy a restrictive “DMARC rule line” to validate outbound email traffic.",Network Infrastructure Services,Network Services (DNS),CORE 1,NETWORKING,
W183,Authentication: Inherence factors,,other,7,-0.154605317979547,-0.324737078875862,0.933082539358451,"Users bypass computer locking mechanisms by stealing physical key tokens or shoulder-surfing numeric password strings, leaving endpoints vulnerable to unauthorized physical access.",Deploy peripheral biometric fingerprint readers or integrate infrared facial recognition cameras; activate biometric login platforms (such as “Windows Hello”) via group policy to require inherence factors for system access.,Network Security & Access Control,Identity and Access Management,CORE 2,,SECURITY
W185,Authentication: Knowledge factors,,other,7,-0.1803013250283398,-0.3507535225648031,0.9189468965078488,Workstations are compromised because users choose weak passwords (like “password123”) or share their personal login credentials with coworkers.,"Use Group Policy Objects (GPOs) to enforce strict password complexity parameters, requiring a minimum character length, uppercase letters, lowercase letters, numbers, and special symbols.",Network Security & Access Control,Identity and Access Management,CORE 2,,SECURITY
W186,Authentication: Location-based factors,,other,7,-0.1358274070346598,-0.3485341210356974,0.9274022223243348,Security teams fail to notice suspicious account logins where a user profile authenticates from New York and then connects from a different continent just ten minutes later.,"Access your organization's cloud identity provider management portal, configure conditional access rules, and set up impossible travel block constraints to automatically drop and flag out-of-region connection requests.",Network Security & Access Control,Identity and Access Management,CORE 2,,SECURITY
W188,Authentication: Possession factors,,other,7,-0.176369187736934,-0.3183535916402624,0.9314209039455572,Remote attackers easily log into internal company networks from thousands of miles away using only stolen password strings.,Distribute physical hardware security keys or smart cards to all enterprise employees; configure endpoint smart card readers to require users to physically insert their card before unlocking workstation interfaces.,Network Security & Access Control,Identity and Access Management,CORE 2,,SECURITY
W111,Android,,other,8,0.4850515028186692,-0.647287495171987,-0.5879999474552062,"Extreme OS (Operating System) sluggishness, UI (User Interface) freezing, apps crashing back to the home screen unexpectedly, or severe battery drain caused by rogue background processes.",Clear the system cache partition by booting into recovery mode; force close malfunctioning background applications via settings; uninstall recently added third-party apps to see if the stability issue clears; perform a factory data reset as a final recovery step.,Mobile Devices and Mobile Hardware,Mobile Operating Systems,CORE 1,,MOBILE DEVICES
W126,Apple: iOS,,other,8,0.4978037696985919,-0.629421768223427,-0.5966738175589453,"Core software applications crashing instantly upon opening, touch interface lag, or cellular/Wi-Fi connection options dropping due to baseband system software mismatches.",Force-restart the device; navigate to Settings > General > Software Update to download system image adjustments; backup all user configurations and perform an installation restore using iCloud or Finder on a computer workstation.,Operating Systems Management,Mobile Operating Systems,CORE 2,,OPERATING SYSTEMS
