id,word,definition,cluster,x,y,ERROR SYMPTOMS,TROUBLESHOOTING,PRIMARY CATEGORY,SUB CATEGORY,CORE,CORE 1: DOMAIN,CORE 2: DOMAIN
23,A Records,address mapping records a core type of dns domain name system record that maps a human-readable host or domain name to its corresponding 32-bit ipv4 address,20,-3.7727265,-5.3859587,"""Server not found"" or ""Site cannot be reached"" errors in web browsers, even though the target server can be successfully reached using its raw numerical IPv4 address.",Run nslookup or dig followed by the domain name to query the DNS server; log into the authoritative DNS zone management panel and verify that the host record is correctly spelled and pointing to the valid public IPv4 address.,Network Infrastructure Services,DNS (Domain Name System) Records,CORE 1,NETWORKING,
24,"AAA (Authentication, Authorization, Accounting) Servers",a security architecture framework used to manage enterprise network access authentication verifies who the user is authorization determines what permissions and files they can access accounting tracks and logs what the user did while connected typically deployed via radius or tacacs protocols,1,-2.6865237,-1.0013725,"ERROR SYMPTOMS: Users are entirely blocked from logging into switches, routers, or corporate VPNs, or network administrators lack historical visibility into who made specific configuration changes during a security incident.",Check physical network path and port connectivity (UDP 1812/1813 for RADIUS; TCP 49 for TACACS+) between the access device and the server; verify that the shared secret key matches identically on both sides; audit the server's authentication logs.,Network Security & Access Control,Security Servers,CORE 1,NETWORKING,
25,AAAA Records (Quad-A Records),a fundamental dns record that maps a domain name to its corresponding 128-bit ipv6 address operating exactly like an a record but explicitly built for ipv6 networking infrastructure,20,-3.6851757,-5.5730305,"Client machines configured exclusively for IPv6 networks fail to connect to a website or network resource, while IPv4 clients connect without issue.",Execute “nslookup -type=aaaa [domain_name]” to verify if the record exists; check the authoritative DNS host configuration to ensure the exact 8-part hexadecimal IPv6 address is entered correctly without typos.,Network Infrastructure Services,DNS (Domain Name System) Records,CORE 1,NETWORKING,
26,"About section, Settings",a system information panel located within modern windows settings settings system about it provides a quick overview of the physical device hardware specs cpu installed ram device id and windows operating system details edition version os build,0,-2.0994143,2.4124327,Inability to readily verify if a machine meets the hardware requirements for an enterprise software deployment or difficulty identifying the exact Windows feature update version during asset management auditing.,"Navigate directly to the window using the shortcut “Windows Key + Pause/Break”, or use the search bar to locate ""About your PC""; if the UI is completely unresponsive, fall back to running the “winver” or “systeminfo” utilities via the Command Prompt.",Operating Systems Management,Windows Settings and Utilities,CORE 2,,OPERATING SYSTEMS
27,"AC adapters, troubleshooting",the external power bricks responsible for converting alternating current ac high-voltage wall power into lower direct current dc power that a portable device or laptop can safely use to run and charge,67,6.284766,-0.275324,"Laptop charging indicator LED remains unlit when plugged in, the battery percentage continuously drains while connected to power, or the physical adapter brick emits an unusual high-pitched buzzing or humming noise.",Inspect the physical cabling for frayed wires or deep cuts; use a digital multimeter to test the DC barrel connector tip for appropriate voltage output against the printed specs on the brick label; swap with a known-good adapter matching identical voltage and equal/higher amperage specifications.,Mobile Devices and Mobile Hardware,Laptop Power Systems,CORE 1,HARDWARE & NETWORK TROUBLESHOOTING,
28,Access: Access control vestibules (mantraps),a physical security facility design utilizing two interlocking doors where the second door cannot unlock until the first door closes completely it requires security personnel or authentication mechanisms to vet an individual before granting deep perimeter entrance strictly preventing tailgating,1,-1.3650559,-2.0816193,"Unauthorized physical intruders successfully slip inside a restricted data center behind a legitimate employee, or an internal mechanical override failure causes both doors to lock simultaneously, trapping staff inside.",Test the electronic door sensors and locking magnetic strikes for proper synchronization logic; re-calibrate the integrated biometric or proximity badge readers; verify the functionality of the emergency break-glass manual release switches located inside the enclosure.,Physical Security & Access Control,Physical Security Controls,CORE 2,,SECURITY
29,Access: ACL (Access Control List),a sequential rule list configured on network routers and firewalls to permit or deny traffic based on metrics like source destination ip addresses ports or protocols can also refer to file system lists defining user read write permissions,18,-1.820193,-4.30062,"Authorized network traffic is blocked entirely when trying to reach a server segment, or insecure external traffic passes through a perimeter firewall unfiltered.","Review the sequential rule ordering on the router/firewall via CLI or management console; ensure that a broad ""deny all"" statement isn't placed ahead of specific ""permit"" lines, as ACL rules process sequentially from top to bottom.",Network Security & Access Control,Logical Security Controls,CORE 2,,SECURITY
30,"Access: Command-line tools, Windows 10",text-based command line interfaces cmd exe and powershell used by system administrators to manage system configurations file permissions network routing and advanced diagnostic utilities directly within the os environment,10,-3.062416,4.2389607,"Administrative scripts or permission-modifying utilities fail to run, throwing ""Access Denied"" errors, or network configurations fail to apply when typing tools like ""ipconfig"" or ""netstat"".","Right-click the Command Prompt shortcut and select ""Run as Administrator"" to elevate the process token; use the ""runas"" command directly inside the CLI to execute utilities under an explicit user profile holding structural administrative rights.",Operating Systems Management,Command-Line Utilities,CORE 2,,OPERATING SYSTEMS
31,Access: Controlling,the overarching administrative logical and physical methods used to limit resource interaction exclusively to authorized entities this combines physical locks security permissions group policy objects and network firewall policies,1,-3.0874765,0.12929703,"Users are over-privileged and able to modify directories outside their job description, or structural data breaches occur due to weak permission constraints.","Implement the security model of ""Least Privilege"" across the infrastructure; perform regular group policy audits; move users out of local Administrator groups into standard unprivileged containers.",Network Security & Access Control,Access Control Management,CORE 2,,SECURITY
32,"Access: Ease of Access, Control Panel",a legacy windows utility applet modernized as accessibility in windows 11 configured to assist users with physical visual or hearing impairments by modifying behavior e g narrator magnifier sticky keys high contrast,16,-2.4623432,2.7883523,"A user accidentally locks themselves into an unreadable inverted color scheme, or a keyboard continuously types duplicate letters or drops characters because a feature like Sticky Keys or Filter Keys was triggered by mistake.","Open Control Panel and click ""Ease of Access Center"" (or press Windows Key + U); turn off accessibility checkboxes that are conflicting with user input; adjust typing delay and feedback thresholds to standard default limits.",Operating Systems Management,Windows Control Panel Applets,CORE 2,,OPERATING SYSTEMS
33,"Access: Printers/multifunction devices, sharing",the process of publishing a locally connected hardware printer onto a local area network via a host pc or print server allowing external network clients to map and send active print jobs to the device,50,3.0598998,-2.2717211,"Remote client computers receive ""Printer Offline"" or ""Connect to Printer Access Denied"" errors when attempting to connect to a shared network print queue.","Verify that the host computer remains powered on and connected to the network; open Printer Properties, navigate to the ""Sharing"" tab, and verify that sharing options are active; check the ""Security"" tab permissions to ensure the ""Everyone"" group or specific network users hold ""Print"" rights.",Peripherals and Hardware,Printer Sharing and Management,CORE 1,HARDWARE,
34,Access: Remote access,technologies that allow a user or administrator to connect securely to a corporate desktop internal network or remote server over an internet connection using protocols like rdp remote desktop ssh or vpn client software,5,-1.3724873,-1.9908347,"The remote session connection drops out or times out with a ""Remote Desktop can’t connect to the remote computer"" notice, or SSH terminals fail to open.",Confirm the remote host machine is powered on and has active remote connections enabled within its system properties; verify that local and network firewalls aren't blocking the appropriate port traffic (TCP 3389 for RDP; TCP 22 for SSH).,Network Infrastructure Services,Remote Access Protocols,CORE 2,,OPERATING SYSTEMS
35,Access: UAC (User Account Control),a windows security feature designed to prevent unauthorized malware or unprivileged users from making changes to system files or registry sections by forcing an explicit pop-up confirmation screen before allowing elevated privileges,19,-1.449722,1.5579332,Legitimate system installation tools crash out during automated deployments because the hidden background script cannot interactively click through a protective UAC confirmation prompt.,"Type ""User Account Control Settings"" in the Windows search bar; adjust the slider mechanism to alter notifications; for enterprise automated software packaging, use administrative bypass methods or adjust settings globally via Group Policy Objects (GPOs).",Operating Systems Management,Windows Security Features,CORE 2,,OPERATING SYSTEMS
36,"Access: Windows networks, sharing access",the administrative setup of folder file and drive resources across a local network using network protocols like smb server message block combined with explicit share permissions and ntfs new technology file system security controls,63,-0.2594085,5.0545197,"A user can view a shared folder across the network but receives an explicit ""You do not have permission to access this folder"" error when trying to write or save a new file inside it.","Right-click the folder and select Properties; check both the Share Permissions and NTFS (New Technology File System) Permissions tabs; remember that when these lists conflict, the system enforces the most restrictive cumulative permission match between the two lists.",Operating Systems Management,Windows File and Folder Sharing,CORE 2,,OPERATING SYSTEMS
37,Access: WPA2 (Wi-Fi Protected Access 2),a widely adopted wireless security protocol introduced to replace wep wired equivalent privacy and wpa wi-fi protected access it secures network communication traffic using robust ccmp counter mode cipher block chaining message authentication code protocol combined with aes advanced encryption standard encryption,59,-1.3761885,-4.005242,"Wireless devices repeatedly drop connections or fail to authenticate due to a pre-shared key mismatch, or networks are vulnerable to offline brute-force key cracks using captured handshake packets.",Access the wireless controller; verify the passphrase strength; upgrade routers to support longer keys; migrate highly sensitive enterprise traffic over to WPA2-Enterprise (Wi-Fi Protected Access) mode to replace shared passwords with unique per-user 802.1X network authentication tokens.,Wireless Networks,Wireless Security Standards,CORE 2,,SECURITY
38,Access: WPA3 (Wi-Fi Protected Access 3),the latest wireless security standard that builds upon wpa2 wi-fi protected access 2 it introduces gcmp galois counter mode protocol encryption and mandates sae simultaneous authentication of equals to eliminate offline dictionary attacks against pre-shared keys while adding robust individualized data encryption for open public hotspots,38,-1.121981,-3.3761764,Legacy client devices cannot see the wireless SSID (Service Set Identifier) or fail to connect when the access point security is switched to WPA3-Only (Wi-Fi Protected Access 3) mode.,"If you have older client devices on the network, change the access point security configuration to ""WPA2/WPA3 (Wi-Fi Protected Access 2/3) Mixed Mode"" (Transition Mode); update the client network card drivers and operating system patches so they can recognize the newer WPA3 (Wi-Fi Protected Access 3) frames.",Wireless Networks,Wireless Security Standards,CORE 2,,SECURITY
39,Accessories: Add-on storage,external storage hardware devices such as usb flash drives external ssds hdds and sd memory cards used to augment a system's built-in storage or provide quick file transfers,49,4.793017,3.1401668,"""Drive not recognized"" errors when plugging in an external unit, file copying failures for large files, or sluggish read/write transfer rates.",Check the device inside Windows Disk Management to see if it requires initialization or a new drive letter; reformat legacy FAT32 (File Allocation Table 32) flash drives to exFAT (Extended File Allocation Table) or NTFS (New File Technology System) to support files larger than 4GB (Gigabyte); ensure the device is plugged into a high-speed USB (Universal Serial Bus) 3.0+ port (blue/SS (SuperSpeed) rather than a legacy USB (Universal Serial Bus) 2.0 port.,Peripherals and Hardware,Storage Components,CORE 1,HARDWARE,
40,Accessories: Audio accessories/ports,the physical interfaces and analog digital peripherals headsets speakers microphones 3 5mm jacks and usb universal serial bus audio controllers that handle sound input and output for a computer or mobile device,42,2.6315923,-3.0052664,"Sound continues playing from internal laptop speakers after a headset is plugged in, static distortion echoes through a microphone, or audio output is completely silent.",Verify physical connection seating; open the OS (Operating Sytem) Sound Control Panel and set the correct hardware peripheral as the Default Playback Device and Default Recording Device; adjust software volume mixers and update local sound drivers.,Peripherals and Hardware,Laptop and PC Audio,CORE 1,HARDWARE,
41,Accessories: Drawing pads,external digitizer surfaces used with a stylus pen to capture handwriting or drawing input translating physical pen strokes into digital coordinate inputs on a workstation screen,68,1.918736,-2.1872423,"Cursor skips across the screen erratically, pen pressure levels fail to register inside design apps, or touch functions are completely unresponsive.",Disconnect and reconnect the interface cable; completely remove generic operating system HID (Human Interface Device) pointer drivers and install the vendor's proprietary device driver pack; run the integrated calibration utility to map the pad area to your monitor coordinates.,Peripherals and Hardware,Input Devices,CORE 1,HARDWARE,
42,Accessories: IP (Ingress Protection) ratings,ingress protection ratings a standardized structural metric scale e g ip67 ip68 that defines a mobile device's physical sealing effectiveness against the entry of foreign objects like dust and liquid moisture the first digit measures solid particles 0-6 the second measures liquid resistance 0-9,18,1.311797,-1.5051033,"Internal corrosion on circuit boards, touch digitizers failing, or fog visible behind camera lenses following short contact with water or dusty work sites.","If a device suffers fluid exposure beyond its rated IP (Ingress Protection) threshold, power it down immediately; do not connect a charging cable; dry the chassis exterior with a lint-free towel and allow it to dry completely in a low-humidity area before powering it back on.",Mobile Devices and Mobile Hardware,Mobile Device Protection,CORE 1,MOBILE DEVICES,
43,Acessories: Styluses,an input accessory shaped like a pen that is used to navigate touchscreens or drawing pads passive styluses simply mimic a human finger touch while active styluses incorporate internal batteries and bluetooth to track advanced metrics like tilt and pressure sensitivity,68,1.8438611,-2.1114144,"Digitizer screen ignores pen strokes completely, line rendering lags behind the physical pen movement, or pressure sensitivity features are missing.",Change the internal battery or charge the active stylus; inspect and replace the plastic pen tip nib if it is worn down or flat; re-pair the device via Bluetooth and verify app configuration support.,Peripherals and Hardware,Input Devices,CORE 1,HARDWARE,
44,Accessories: Touchpads,the tactile sensor surface built into laptop palm rests that acts as the primary mouse pointer device by tracking finger movement and multi-touch gestures across its surface area,68,1.3711269,-1.8720448,"The cursor jumps erratically while typing on the keyboard, mouse clicks fail to register, or multi-finger gestures like scrolling fail to work.","Clean the touchpad surface with a lightly damp microfiber cloth to remove skin oils; use the ""Fn"" key shortcut (e.g., Fn+F7) to verify the touchpad wasn't accidentally disabled; check Windows Settings to lower palm-rejection sensitivity settings so your palm doesn't trigger accidental inputs while typing.",Mobile Devices and Mobile Hardware,Laptop Hardware Components,CORE 1,MOBILE DEVICES,
45,Accessories: Trackpads,an alternate term for a laptop touchpad frequently used within apple and modern click-surface ecosystems that translates finger positioning and pressure into cursor movement,1,1.2442918,-1.7706215,"The physical trackpad surface lifts or pops out of the laptop chassis enclosure, or clicking mechanisms become rigid and physically impossible to press down.","Safety Warning: If the surface is lifting, check for a internal swollen battery immediately; remove power, safely replace the expanding battery module, and inspect the trackpad structure for permanent structural damage before reassembling.",Mobile Devices and Mobile Hardware,Laptop Hardware Components,CORE 1,MOBILE DEVICES,
46,Accessories: Warranties,service agreements provided by manufacturers or third-party insurers that cover the repair or replacement costs of computer hardware components due to internal defects or accidental damage over a specified timeframe,1,1.4078828,-0.8125929,"Technicians void corporate coverage by breaking factory tamper seals during unapproved repair operations, or organizations pay out-of-pocket for expensive motherboard replacements that were actually covered under active OEM (Original Equipment Manufacturer) service contracts.",Look up the device serial number or IMEI (International Mobile Equipment Identity) string on the manufacturer's support portal to check coverage status before opening a laptop chassis; document all repair steps meticulously and use official OEM (Original Equipment Manufacturer) authorized parts to ensure corporate service agreements remain intact.,Network Infrastructure and Operational Procedures,Operational Documentation and Policies,CORE 2,,OPERATIONAL PROCEDURES
47,"Accounts: Accounts section, Settings",a central configuration interface inside modern windows settings settings accounts used to manage user profiles sign-in options such as windows hello pin personal identification number facial recognition or passwords sync settings and link microsoft accounts or work school credentials to the local machine,0,-3.4634414,1.636017,"User is unable to configure biometric sign-in options, encounters a warning that local settings are not syncing across devices, or experiences profile connection errors after a corporate password change.","Open Windows Settings (Win + I), navigate to Accounts, and select Access work or school to re-authenticate or fix credential synchronization; verify the local machine has a stable internet connection to validate external Microsoft or Azure/Entra ID profiles.",Operating Systems Management,Windows Settings and Utilities,CORE 2,,OPERATING SYSTEMS
